Date,Execution Time
2022-10-21,0.004240759
2022-10-21,0.002228989
2023-03-12,0.003214968
2023-03-12,0.003121343
2023-03-12,0.002734051
2023-03-12,0.003264742
2023-03-12,0.002326421
2023-03-12,0.002540985
2023-03-12,0.002922806
2023-03-12,0.003372412
2023-03-12,0.003001003
2023-03-12,0.005033677
2023-03-12,0.002773928
2023-03-12,0.002321312
2023-03-12,0.003393084
2023-03-12,0.003547345
2023-03-12,0.00256621
2023-03-12,0.002447432
2023-03-12,0.002683998
2023-03-12,0.003530849
2023-03-12,0.00261912
2023-03-12,0.002747921
2023-03-12,0.00458971
2023-03-12,0.004451734
2023-03-12,0.00265243
2023-03-12,0.002866446
2023-03-12,0.003192738
2023-03-12,0.002915035
2023-03-12,0.002450604
2023-03-12,0.003565467
2023-03-12,0.00696388
2023-04-16,0.007851405
2023-10-07,0.005794916
2023-10-22,0.00935157
2023-10-22,0.006272565
2023-10-22,0.002709523
2023-10-22,0.005590212
2023-10-22,0.002449145
2023-10-22,0.008160955
2024-01-14,0.00455352
2024-01-14,0.0036613
2024-03-09,0.004147961
2024-08-03,0.004040975
2024-09-14,0.002713511
